group,id_spec,WARP1,rho14_pencilsFINAL,WARP2,rho14_pensFINAL,rhoIND_pencils,rhoIND_pens
1,1,0,0,8,0,0.999999999909092,0.613066226360129
1,2,10,0,7,0,0.502203689660298,0.613066224467065
1,3,1,0,5,0,0.908228625464485,0.716283693813638
1,4,7,0,6,0,0.716283695366474,0.716283695359545
1,5,0,0,0,0,0.999999999909092,0.999999999909092
1,6,11,0,12,0,0.502203679172851,0.244680405053628
1,7,10,0,5,0,0.380748386850638,0.8140930953126
1,8,9,0,11,0,0.613066226643819,0.380748390425187
2,2,11,0,6,0,0.380748391426891,0.71628369535571
2,3,5,0,11,0,0.716283689415102,0.380748392243012
2,4,8,0,7,0,0.613066226631617,0.716283689403662
2,5,9,0,9,0,0.61306622642182,0.61306622278303
2,6,10,0,4,0,0.502203679133788,0.814093095334313
2,7,9,0,11,0,0.61306622659762,0.244680405043827
2,12,10,0,10,0,0.613066222528648,0.613066222496649
3,1,11,0,10,0,0.380748384362861,0.502203679211191
3,2,9,0,11,0,0.50220367932038,0.502203689673349
3,4,9,0,11,0,0.613066225450846,0.38074839014453
3,5,10,0,12,0,0.502203679065197,0.244680405192427
3,6,7,0,11,0,0.716283695335051,0.380748393169055
3,7,10,0,10,0,0.244680404438204,0.502203690361874
3,8,7,0,9,0,0.716283695336597,0.502203679979219
3,9,6,0,11,0,0.613066226460076,0.244680405150904
4,1,0,0,0,0,0.999999999909092,0.999999999909092
4,2,3,0,0,0,0.908228625536137,0.999999999909092
4,3,0,0,0,0,0.999999999909092,0.999999999909092
4,4,0,0,0,0,0.999999999909092,0.999999999909092
4,5,3,0,3,0,0.908228625550176,0.908228625536475
4,6,5,0,10,0,0.716283695265502,0.502203689826611
4,7,0,0,0,0,0.999999999909092,0.999999999909092
4,8,0,0,0,0,0.999999999909092,0.999999999909092
4,9,0,0,2,0,0.999999999909092,0.814093095204682
4,10,9,0,9,0,0.613066226461433,0.613066226456188
4,11,3,0,1,0,0.908228625475893,0.908228618527078
4,12,9,0,10,0,0.502203679114955,0.502203680092876
4,13,0,0,3,0,0.999999999909092,0.908228625536742
5,1,0,0,0,0,0.999999999909092,0.999999999909092
5,2,4,0,0,0,0.814093095263196,0.999999999909092
5,3,9,0,7,0,0.613066226623543,0.61306622251346
5,4,0,0,0,0,0.999999999909092,0.999999999909092
5,5,0,0,0,0,0.999999999909092,0.999999999909092
5,6,10,0,9,0,0.380748384378812,0.380748383847697
6,1,0,0,9,0,0.999999999909092,0.613066226594487
6,2,11,0,7,0,0.380748390141207,0.502203690368647
6,3,2,0,6,0,0.81409309520522,0.716283690990802
6,4,1,0,0,0,0.908228618545451,0.999999999909092
6,5,9,0,10,0,0.50220369038336,0.380748388428738
6,6,9,0,9,0,0.613066222513198,0.613066226418027
6,7,9,0,0,0,0.502203679332169,0.999999999909092
7,1,8,0,7,0,0.613066226638834,0.716283689438373
7,2,11,0,4,0,0.502203689668149,0.814093095301336
7,3,11,0,10,0,0.380748386054912,0.380748392172841
7,4,0,0,0,0,0.999999999909092,0.999999999909092
7,5,11,0,10,0,0.380748386008076,0.502203679227363
7,6,3,0,0,0,0.908228625537119,0.999999999909092
7,7,5,0,4,0,0.81409309528438,0.814093095264765
8,1,3,0,0,0,0.908228618538516,0.999999999909092
8,3,3,0,7,0,0.908228625534863,0.613066226351138
8,4,5,0,6,0,0.81409309526365,0.71628369536209
8,5,0,0,0,0,0.999999999909092,0.999999999909092
8,6,1,0,5,0,0.908228625549558,0.81409309523772
8,7,0,0,0,0,0.999999999909092,0.999999999909092
8,9,0,0,0,0,0.999999999909092,0.999999999909092
8,10,3,0,10,0,0.908228625535993,0.502203680117421
8,11,1,0,1,0,0.908228625546863,0.908228625463256
8,12,5,0,0,0,0.814093095213237,0.999999999909092
8,13,3,0,6,0,0.908228625473293,0.716283695362404
8,14,0,0,1,0,0.999999999909092,0.90822862555007
8,15,0,0,0,0,0.999999999909092,0.999999999909092
8,16,0,0,0,0,0.999999999909092,0.999999999909092
9,4,0,0,0,0,0.999999999909092,0.999999999909092
9,5,0,0,1,0,0.999999999909092,0.908228625549357
9,6,0,0,3,0,0.999999999909092,0.908228625535002
9,7,0,0,1,0,0.999999999909092,0.908228625550186
9,8,0,0,0,0,0.999999999909092,0.999999999909092
9,10,5,0,0,0,0.814093095324897,0.999999999909092
9,11,0,0,0,0,0.999999999909092,0.999999999909092
9,13,1,0,0,0,0.90822862555007,0.999999999909092
9,15,3,0,1,0,0.908228618536135,0.908228625550161
9,17,2,0,4,0,0.814093095206576,0.814093095267868
9,18,0,0,6,0,0.999999999909092,0.716283692445246
10,5,0,0,0,0,0.999999999909092,0.999999999909092
10,9,0,0,6,0,0.999999999909092,0.716283695245534
10,12,1,0,0,0,0.908228625549582,0.999999999909092
10,13,0,0,0,0,0.999999999909092,0.999999999909092
10,14,4,0,0,0,0.814093095212025,0.999999999909092
10,15,4,0,3,0,0.814093090224302,0.908228625537119
10,16,0,0,0,0,0.999999999909092,0.999999999909092
10,17,0,0,1,0,0.999999999909092,0.90822862548335
10,18,0,0,1,0,0.999999999909092,0.90822862548335
10,19,3,0,8,0,0.908228618537542,0.613066226373337
10,20,0,0,0,0,0.999999999909092,0.999999999909092
11,4,0,0,5,0,0.999999999909092,0.81409309523415
11,5,0,0,0,0,0.999999999909092,0.999999999909092
11,6,5,0,1,0,0.814093095251548,0.908228618527078
11,7,0,0,0,0,0.999999999909092,0.999999999909092
11,8,0,0,3,0,0.999999999909092,0.908228625537267
11,9,4,0,0,0,0.814093095260917,0.999999999909092
11,10,3,0,1,0,0.908228625473293,0.908228625483447
11,11,0,0,0,0,0.999999999909092,0.999999999909092
11,12,0,0,0,0,0.999999999909092,0.999999999909092
11,13,2,0,7,0,0.814093095204449,0.502203690374252
11,14,0,0,0,0,0.999999999909092,0.999999999909092
11,15,0,0,0,0,0.999999999909092,0.999999999909092
11,16,0,0,0,0,0.999999999909092,0.999999999909092
11,17,0,0,0,0,0.999999999909092,0.999999999909092
11,18,3,0,8,0,0.90822862547463,0.613066226400596
12,2,9,0,10,0,0.613066226383992,0.502203679875616
12,3,0,0,0,0,0.999999999909092,0.999999999909092
12,5,0,0,8,0,0.999999999909092,0.716283695379961
12,6,8,0,9,0,0.613066226343517,0.502203690375481
12,7,0,0,1,0,0.999999999909092,0.908228625546863
12,8,8,0,0,0,0.502203679080021,0.999999999909092
12,9,0,0,3,0,0.999999999909092,0.908228625475241
12,10,11,0,9,0,0.38074839246103,0.502203679900802
12,11,6,0,5,0,0.814093095278663,0.814093095324897
12,12,0,0,1,0,0.999999999909092,0.908228625549558
12,13,5,0,8,0,0.716283695246095,0.613066222788527
12,14,8,0,2,0,0.613066222778496,0.814093095206457
12,15,9,0,6,0,0.502203689687967,0.814093095233106
13,4,0,0,10,0,0.999999999909092,0.380748384172251
13,5,0,0,0,0,0.999999999909092,0.999999999909092
13,6,0,0,0,0,0.999999999909092,0.999999999909092
13,7,0,0,1,0,0.999999999909092,0.908228618527078
13,8,0,0,2,0,0.999999999909092,0.81409309520561
13,9,0,0,1,0,0.999999999909092,0.908228625549558
13,10,9,0,3,0,0.50220369000283,0.908228625548353
