group,id_spec,WARP1,WARP2,gender,school,class,raven,cen1_1,cen1_2,cen1_3,cen1_4,cen2_1,cen2_2,cen2_3,cen2_4,c1,c2,c3,threes_twos,threes_ones,twos_ones,ra,esito,treatment,ok_control,ind1_2w,ind2_2w,ind3_2w,corr1_2w,corr2_2w,corr3_2w,ra_2w,ok_control_2w,group*,id*,Yellow Pencil,Red Pencil,Orange Pencil,Blue Pencil,Vote Yellow Pencil,Vote Red Pencil,Vote Orange Pencil,Vote Blue Pencil,Yellow Pen,Red Pen,Blue Pen,Green Pen,Vote Yellow Pen,Vote Red Pen,Vote Blue Pen,Vote Green Pen,min_slider_pencils,max_slider_pencils,cv_slider_pencils,range_slider_pencils,min_slider_pens,max_slider_pens,cv_slider_pens,range_slider_pens,age_child,age_mother,age_father,school_mother,school_father,x0012,x0013,x0014,x0023,x0024,x0034,x0123,x0124,x0134,x0234,x1234,x0056,x0057,x0058,x0067,x0068,x0078,x0567,x0568,x0578,x0678,x5678,swaps_pens,houtman_pens,IND_ac_SARP_pens,IND_tr_SARP_pens,IND_io_SARP_pens,IND_se_SARP_pens,IND_ac_WARP_pens,IND_tr_WARP_pens,IND_io_WARP_pens,IND_se_WARP_pens,swaps_pencils,houtman_pencils,IND_ac_SARP_pencils,IND_tr_SARP_pencils,IND_io_SARP_pencils,IND_se_SARP_pencils,IND_ac_WARP_pencils,IND_tr_WARP_pencils,IND_io_WARP_pencils,IND_se_WARP_pencils,WARP1,est_rho_unique_pencils,est_rho_3X3_pencils_bin,est_rho_3X3_pencils_ter,est_rho_3X3_pencils_quat,att_pencils,H_nosalience1_pencils,H_salience1_pencils,H_nosalience4_pencils,H_salience4_pencils,H_saliencerand1_pencils,H_saliencerand4_pencils,H_saliencerand5_pencils,alpha23_pencils,alpha24_pencils,alpha34_pencils,gamma23_pencils,gamma24_pencils,gamma34_pencils,binarycycle_pencils,best_bin_pencils,ternarycycle_pencils,WARP2,est_rho_unique_pens,est_rho_3X3_pens_bin,est_rho_3X3_pens_ter,est_rho_3X3_pens_quat,att_pens,H_nosalience1_pens,H_salience1_pens,H_nosalience4_pens,H_salience4_pens,H_saliencerand1_pens,H_saliencerand4_pens,H_saliencerand5_pens,alpha23_pens,alpha24_pens,alpha34_pens,gamma23_pens,gamma24_pens,gamma34_pens,binarycycle_pens,best_bin_pens,ternarycycle_pens,SD_pencils,RA_pencils,SD_pens,RA_pens,UI_or,UI_top_or
1,1,0,8,0,1,1,2,0.071606739,0.002706842,0.010026511,0.915659907,0.30891034,0.00030872,0.30891034,0.381870601,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1,2,3,4,3,2,1,5,5,6,7,8,5,4,4,2,1,5,1.060606061,4,2,5,0.422222222,3,2602,12105,13760,Scuola secondaria di 1Âº grado (Licenza media),Scuola secondaria di 1Âº grado (Licenza media),1,1,4,3,4,4,1,4,4,4,4,5,5,8,7,8,8,7,8,7,8,5,4,3,0.050472327,0.050472,0.050472,0.050472,0.061277,0.06127748,0.06127748,0.06127748,0,0,0.000306,0.000351,0.000308,0.000275,0.000352,0.000455,0.00041,0.000367,0,0.898888497,0.799350397,0.797684547,0.797696998,0.460720507,0.009961383,6.25E-06,0.988480558,0.994103904,3.35E-11,0.994769874,0.00515859,0,0,0,0,0,0,1,1,1,8,0.277986095,0.613057022,0.475442143,0.475234622,0.242680387,0.009961122,6.28E-06,0.988539714,0.994099714,3.35E-11,0.994760075,0.005162581,3,1,3,2,1,2,1,1,0,2,1,8,3,0,1
1,2,10,7,0,1,1,6,0.212126737,0.237850759,0.12126723,0.428755274,0.35952895,0.084767379,0.322449006,0.233254664,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,2,1,2,3,4,5,4,5,5,5,6,7,8,5,5,5,5,4,5,0.052631579,1,5,5,0,0,2452,9635,NaN,"Scuola secondaria di 2Âº grado (diploma di istruzione liceale, diploma di istruzione tecnica, diploma di istruzione professionale)",Nessun titolo di studio,1,3,4,3,4,4,2,4,1,2,4,5,5,8,6,8,7,5,8,5,7,7,4,4,0.021014721,0.06231,0.110585,0.110585,0.022436,0.067072428,0.119836818,0.119836818,5,3,0.264142,0.264142,0.264142,0.264142,0.269542,0.269542,0.269542,0.269542,10,0.234051486,0.6272845,0.469937973,0.472139452,0.261323784,0.98424522,0.010500498,0.015611002,0.494416354,1.06E-06,0.050579732,0.949415576,6,0,2,3,0,1,1,1,0,7,0.251364175,0.498409432,0.470013697,0.492567048,0.213477642,0.984244564,0.01054021,0.015614582,0.494383334,1.06E-06,0.050525027,0.949469988,2,2,2,0,0,1,0,0,0,7,1,6,0,0,0
1,3,1,5,1,1,1,3,0.723287369,0.132330037,0.086983114,0.05739948,0.192457305,0.298922358,0.451855707,0.05676463,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,3,1,2,3,4,5,5,4,5,5,6,7,8,5,5,5,5,4,5,0.052631579,1,5,5,0,0,2338,11627,14715,Laurea specialistica,"Scuola secondaria di 2Âº grado (diploma di istruzione liceale, diploma di istruzione tecnica, diploma di istruzione professionale)",1,1,1,3,2,4,1,1,1,2,1,5,7,8,6,6,7,7,5,7,6,7,3,3,0.002506334,0.021473,0.022494,0.022494,0.002578,0.023612653,0.025096525,0.025096525,1,1,0.000694,0.00159,0.001395,0.001327,0.000752,0.001853,0.001654,0.001555,1,0.89152405,0.79503517,0.794282403,0.794204307,0.51662068,1,0.999936437,9.06E-13,1.32E-08,0.798606965,2.71E-12,0.201393035,1,0,0,0,0,0,0,0,1,5,0.524528714,0.711235715,0.701262852,0.693606495,0.341628653,1,0.99993697,9.08E-13,1.31E-08,0.79865666,2.38E-12,0.20134334,2,1,1,0,0,0,0,0,0,3,0,6,0,0,0
1,4,7,6,0,1,1,1,0.304114215,0.052577503,0.166493524,0.476814758,0.090147831,0.51850319,0.271363848,0.119985131,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,4,1,2,3,4,4,5,5,5,5,6,7,8,5,5,5,5,4,5,0.052631579,1,5,5,0,0,2345,17298,14475,Scuola secondaria di 1Âº grado (Licenza media),"Scuola secondaria di 2Âº grado (diploma di istruzione liceale, diploma di istruzione tecnica, diploma di istruzione professionale)",1,1,4,2,4,4,1,1,4,3,4,6,5,8,6,6,8,7,6,7,6,6,3,2,0.019315757,0.020129,0.020129,0.051007,0.020958,0.022410321,0.022410321,0.055774414,3,2,0.01947,0.01947,0.019672,0.019672,0.021729,0.021729,0.022187,0.022187,7,0.637573884,0.76372958,0.58694369,0.587271773,0.451747452,0.997238455,0.032259188,0.00270043,0.242344711,6.38E-06,0.010305191,0.989687691,3,0,2,2,0,1,1,1,0,6,0.470983095,0.690793038,0.653350531,0.657944313,0.333539347,0.997236029,0.032401605,0.002703967,0.241837593,6.38E-06,0.010266527,0.989726291,4,0,1,2,0,1,1,1,0,8,2,7,0,0,0
1,5,0,0,0,1,1,5,0.002706842,0.010026511,0.071606739,0.915659907,0.002706842,0.915659907,0.010026511,0.071606739,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,5,1,2,3,4,1,1,1,5,5,6,7,8,1,5,1,1,1,5,2,4,1,5,2,4,2375,13547,15016,"Scuola secondaria di 2Âº grado (diploma di istruzione liceale, diploma di istruzione tecnica, diploma di istruzione professionale)","Scuola secondaria di 2Âº grado (diploma di istruzione liceale, diploma di istruzione tecnica, diploma di istruzione professionale)",2,3,4,3,4,4,3,4,4,4,4,6,7,8,6,6,8,6,6,8,6,6,0,0,0.000306152,0.000351,0.000308,0.000275,0.000352,0.000455359,0.000410313,0.000367235,0,0,0.000306,0.000351,0.000308,0.000275,0.000352,0.000455,0.00041,0.000367,0,0.899657266,0.799910991,0.799788756,0.799791181,0.489622761,0.000805806,1.21E-07,0.997627817,0.998416509,5.35E-14,0.999484418,0.000443708,0,0,0,0,0,0,1,1,1,0,0.895277011,0.795761303,0.788849523,0.78903088,0.474704247,0.000805842,1.22E-07,0.997687119,0.998414528,5.35E-14,0.999478799,0.00044349,0,0,0,0,0,0,1,1,1,3,0,3,0,0,1
1,6,11,12,0,1,1,1,0.276109433,0.21519147,0.146818487,0.36188061,0.190626878,0.273831096,0.24584997,0.289692057,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,6,1,2,3,4,5,5,5,5,5,6,7,8,5,5,5,5,5,5,0,0,5,5,0,0,2292,14896,16700,Scuola secondaria di 1Âº grado (Licenza media),Scuola secondaria di 1Âº grado (Licenza media),2,1,1,2,4,4,2,1,4,3,4,5,5,5,6,8,8,6,6,7,7,8,7,5,1,1,1,1,1,1,1,1,5,3,0.064213,0.064213,0.207538,0.207538,0.066126,0.066126,0.213353,0.213353,11,0.218579287,0.450905342,0.363016968,0.36538173,0.279218652,0.999956405,0.741818042,4.29E-05,0.085819499,0.000411718,0.000222644,0.999365622,4,1,2,2,0,0,0,1,0,12,0.214087826,0.468319848,0.206959552,0.270925415,0.200441044,0.999956347,0.743044191,4.29E-05,0.085251999,0.000412039,0.000217455,0.999370489,7,1,3,4,1,2,1,1,0,6,0,7,0,0,0
1,7,10,5,1,1,1,1,0.266871776,0.178723931,0.196537527,0.357866765,0.192220082,0.468064005,0.207272751,0.132443163,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,7,1,2,3,4,4,5,1,4,5,6,7,8,4,5,5,4,1,5,0.857142857,4,4,5,0.074074074,1,2339,10048,10585,"Scuola secondaria di 2Âº grado (diploma di istruzione liceale, diploma di istruzione tecnica, diploma di istruzione professionale)","Scuola secondaria di 2Âº grado (diploma di istruzione liceale, diploma di istruzione tecnica, diploma di istruzione professionale)",2,3,4,3,4,3,2,1,1,4,4,6,5,5,6,8,7,6,6,5,7,6,2,2,0.002515115,0.022301,0.022941,0.056604,0.002496,0.024443254,0.025315072,0.061466641,6,4,0.264142,0.264142,0.264142,0.264142,0.269542,0.269542,0.269542,0.269542,10,0.214958751,0.422977339,0.362672859,0.366015955,0.242842093,0.999744181,0.079985624,0.00025188,0.280115451,2.97E-06,0.001406074,0.998590851,6,1,2,4,1,1,1,1,0,5,0.790801036,0.76423438,0.762539539,0.763479497,0.349066928,0.999743705,0.080371271,0.000252427,0.279836623,2.98E-06,0.001343695,0.998653223,2,1,1,0,0,0,0,0,0,5,1,4,1,0,0
1,8,9,11,0,1,1,4,0.111911268,0.231670475,0.424747783,0.231670475,0.280318252,0.234384275,0.289320264,0.195977209,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,8,1,2,3,4,3,5,3,4,5,6,7,8,3,5,4,3,3,5,0.244444444,2,3,5,0.244444444,2,2457,15012,15836,Scuola secondaria di 1Âº grado (Licenza media),Scuola secondaria di 1Âº grado (Licenza media),2,1,4,2,4,3,3,2,4,3,3,6,7,5,7,6,7,5,5,7,6,8,6,4,1,1,1,1,1,1,1,1,4,4,0.104602,0.104602,0.104602,0.104602,0.114425,0.114425,0.114425,0.114425,9,0.301219099,0.588178378,0.518404669,0.518152764,0.238000475,0.999993315,0.398807414,5.10E-06,0.041161078,1.28E-05,2.70E-05,0.999960135,5,2,1,2,0,0,0,0,0,11,0.230240397,0.617475883,0.238689793,0.237440065,0.204974191,0.99999334,0.399968076,5.10E-06,0.040770917,1.28E-05,2.94E-05,0.999957661,4,3,3,3,1,1,1,1,0,6,2,5,2,0,0
2,2,11,6,0,1,1,3,0.362732184,0.235719518,0.196935806,0.204612492,0.00035071,0.412340614,0.442367743,0.144940934,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,2,1,2,3,4,3,3,4,5,5,6,7,8,3,4,5,4,3,5,0.244444444,2,3,5,0.166666667,2,NaN,NaN,NaN,,,1,3,1,3,4,3,2,4,1,2,1,6,7,8,6,8,7,7,6,7,6,7,3,3,0.009315631,0.010101,0.009699,0.011409,0.011178,0.012376918,0.012055149,0.014129339,6,4,0.264142,0.264142,0.264142,0.264142,0.269542,0.269542,0.269542,0.269542,11,0.233885089,0.319611038,0.2953632,0.293298613,0.207517225,0.99999999,0.988912498,6.41E-09,0.000138304,0.001841969,6.55E-08,0.998157965,6,1,2,4,1,1,1,1,0,6,0.648375854,0.75860398,0.751005965,0.757507153,0.457920169,0.99999999,0.98899505,6.43E-09,0.000137454,0.001843308,6.25E-08,0.998156629,3,1,1,2,0,1,0,1,0,8,2,2,0,0,0
2,3,5,11,1,1,1,2,0.117121175,0.087313387,0.254758589,0.540806849,0.264310234,0.223412942,0.150806817,0.361470007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,3,1,2,3,4,5,5,3,3,5,6,7,8,5,4,4,4,3,5,0.333333333,2,4,5,0.058823529,1,2318,11240,11150,Scuola secondaria di 1Âº grado (Licenza media),"Scuola secondaria di 2Âº grado (diploma di istruzione liceale, diploma di istruzione tecnica, diploma di istruzione professionale)",1,1,4,2,4,3,3,4,4,4,4,5,7,5,6,6,7,6,8,5,8,8,6,5,0.264142056,0.264142,0.264142,0.264142,0.269542,0.269541779,0.269541779,0.269541779,3,2,0.019316,0.020129,0.020129,0.051007,0.020958,0.02241,0.02241,0.055774,5,0.762659971,0.789760808,0.771502973,0.771711569,0.375406019,0.237906631,8.11E-05,0.76089868,0.998335685,2.86E-09,0.89735842,0.102577047,4,1,0,1,0,0,0,0,1,11,0.21021002,0.295658717,0.229188856,0.355636372,0.203885657,0.237790498,8.16E-05,0.761059896,0.998333222,2.77E-09,0.900757646,0.099172316,6,3,1,3,0,0,0,1,0,8,2,6,0,0,0
